Player,FGM,FG Att,Blk,XPM,XPA,XP_Blk,1-19_A,1-19_M,20-29_A,20-29_M,30-39_A,30-39_M,40-49_A,40-49_M,50+_A,50+_M,PSs,Lng,Team
Les Murdock,4,9,0,13,15,0,0,0,0,0,0,0,0,0,0,0,1,0,NYG
Wendell Harris,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,NYG
Matt Bryant,397,463,9,562,570,2,7,7,125,120,140,125,129,105,62,40,18,62,NYG
Aldrick Rosas,62,75,2,86,94,2,0,0,23,23,24,21,19,11,9,7,3,57,NYG
Ali Haji-Sheikh,76,111,0,95,103,0,0,0,0,0,0,0,0,0,0,0,5,56,NYG
Pete Gogolak,126,219,0,268,277,0,0,0,0,0,0,0,0,0,0,0,9,0,NYG
Owen Pochman,8,17,2,9,10,0,0,0,1,1,8,3,5,4,3,0,2,48,NYG
Eric Schubert,13,24,0,35,36,0,0,0,0,0,0,0,0,0,0,0,2,46,NYG
Don Silvestri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NYJ
Greg Gantt,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,NYJ
John Hudson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NYJ
Louie Aguiar,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,23,NYJ
Pat Ragusa,2,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,1,34,NYJ
Ryan Quigley,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,NYJ
Dave Jacobs,12,26,0,21,25,0,0,0,0,0,0,0,0,0,0,0,3,44,NYJ
Cary Blanchard,165,214,5,188,190,0,5,5,47,45,66,52,78,53,18,10,8,54,NYJ
Mike Nugent,249,304,6,364,379,5,5,5,82,80,91,77,96,74,30,13,15,55,NYJ
Jim Turner,271,429,0,457,479,0,0,0,0,0,0,0,0,0,0,0,14,53,NYJ
Pat Leahy,304,426,0,558,584,0,3,3,16,13,11,9,5,1,2,0,18,55,NYJ
John Hall,203,272,11,280,286,4,4,4,67,64,92,74,81,48,28,13,10,55,NYJ
Jeff Gossett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,OAK
Mike Eischeid,11,26,0,37,37,0,0,0,0,0,0,0,0,0,0,0,1,0,OAK
Ray Guy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,OAK
Shane Lechler,0,1,0,7,7,0,0,0,0,0,1,0,0,0,0,0,1,0,OAK
Giorgio Tavecchio,21,26,1,41,42,0,0,0,6,6,7,5,7,5,6,5,2,56,OAK
Fred Steinfort,62,108,0,121,128,0,0,0,0,0,0,0,0,0,0,0,6,57,OAK
Jim Breech,243,340,1,517,539,0,0,0,18,17,17,15,17,9,4,1,14,53,OAK
Daniel Carlson,35,43,0,52,54,1,0,0,10,10,9,8,19,14,5,3,2,50,OAK
Cole Ford,45,62,3,86,89,1,1,1,19,15,20,17,19,11,3,1,3,53,OAK
Sebastian Janikowski,436,542,9,605,614,3,7,7,117,114,142,128,171,129,105,58,18,63,OAK
Mark Simoneau,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,PHI
Ove Johansson,1,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,32,PHI
Mark Moseley,294,445,0,470,498,0,0,0,0,0,0,0,0,0,0,0,16,54,PHI
